TEAMNAMES,SeriesNumber,Filename,Name,Description,Gender,Attributes,UUID,hash
TEAM BRAINBOX,132,olamide-the-street-boy,olamide the street boy,Olamide has a sweet voice.,Male,hair:none;eyes:white;teeth:none;clothing:green and blue;accessories:cap;expression:serious face;strength:strong;weakness:stubborn,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,de002a1fc2db732a4c84970aa4e75e6a9a7ca107e5e704e14c955e38f421519a
TEAM BRAINBOX,133,uche-peace-loving-man,uche peace loving man,Uche man of peace and discipline.,Male,hair:yellow;eyes:blue;teeth:none;clothing:yellow;accessories:none;expression:happy;strength:strong;weakness:emotional,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,3d289c9cabd4e64eeb4b52fe322461d18da902c7f7a8e8fe35df176f242946fb
TEAM BRAINBOX,133,uche-peace-loving-man,uche peace loving man,Uche man of peace and discipline.,Male,hair:yellow;eyes:blue;teeth:none;clothing:yellow;accessories:none;expression:happy;strength:strong;weakness:emotional,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,3d289c9cabd4e64eeb4b52fe322461d18da902c7f7a8e8fe35df176f242946fb
TEAM BRAINBOX,134,dave-the-tech-bro,dave the tech bro,Dave is a web3 enthusiast.,Male,hair:none;eyes:none;teeth:white;clothing:none;accessories:cap;expression:serious face;strength:strong;weakness:none,c0857b11-bf0e-46a4-9108-b8eb93d83e74,83dd797b9791664374af02b85b9397a746e7aa610b7b444406fe2c1ef22deb00
TEAM BRAINBOX,134,dave-the-tech-bro,dave the tech bro,Dave is a web3 enthusiast.,Male,hair:none;eyes:none;teeth:white;clothing:none;accessories:cap;expression:serious face;strength:strong;weakness:none,c0857b11-bf0e-46a4-9108-b8eb93d83e74,83dd797b9791664374af02b85b9397a746e7aa610b7b444406fe2c1ef22deb00
TEAM BRAINBOX,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,Obi loves service to humanity.,Male,hair:none;eyes:blue;teeth:white;clothing:brown;accessories:cap;expression:happy;strength:strong;weakness:none,201a408c-7a2e-42d9-a62c-0136c885c211,1fdd972a720aa7e22e026c875c3f3c5f5db2a0c7f7c6780240e55f8bfdd29bf7
TEAM BRAINBOX,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,Obi loves service to humanity.,Male,hair:none;eyes:blue;teeth:white;clothing:brown;accessories:cap;expression:happy;strength:strong;weakness:none,201a408c-7a2e-42d9-a62c-0136c885c211,1fdd972a720aa7e22e026c875c3f3c5f5db2a0c7f7c6780240e55f8bfdd29bf7
TEAM BRAINBOX,136,precious-the-emotional-girl,precious the emotional girl,Precious is soft hearted and sensitive.,Female,hair:none;eyes:white;teeth:white;clothing:yellow and blue;accessories:cap;expression:angry;strength:strong;weakness:none,b6a41ff1-51ce-42f7-9933-85d0a22ced68,63d0169ba33a6a6bda36ad813c325bc123da0dfa8e54cbe1f312a8d81e8d938d
TEAM BRAINBOX,136,precious-the-emotional-girl,precious the emotional girl,Precious is soft hearted and sensitive.,Female,hair:none;eyes:white;teeth:white;clothing:yellow and blue;accessories:cap;expression:angry;strength:strong;weakness:none,b6a41ff1-51ce-42f7-9933-85d0a22ced68,63d0169ba33a6a6bda36ad813c325bc123da0dfa8e54cbe1f312a8d81e8d938d
TEAM BRAINBOX,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady.,Female,hair:none;eyes:white;teeth:white;clothing:black and yellow;accessories:cap;expression:happy;strength:strong;weakness:none,04036447-f43e-4bfb-9503-f55c9064b14e,96ab6ddaa0624628dd06fb874d1b71db8ce246bd157e4cdce104f5f671d43202
TEAM BRAINBOX,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady.,Female,hair:none;eyes:white;teeth:white;clothing:black and yellow;accessories:cap;expression:happy;strength:strong;weakness:none,04036447-f43e-4bfb-9503-f55c9064b14e,96ab6ddaa0624628dd06fb874d1b71db8ce246bd157e4cdce104f5f671d43202
TEAM BRAINBOX,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with priceless cute eyes.,Female,hair:yellow;eyes:blue;teeth:none;clothing:blue and yellow;accessories:none;expression:serious face;strength:mild;weakness:pride,5d12847b-6d71-4691-8337-2e6ef3e283b2,950cc794fefbaa52d881db854d5105f7295d41b7544035c0f4c2b80ed51f2813
TEAM BRAINBOX,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with priceless cute eyes.,Female,hair:yellow;eyes:blue;teeth:none;clothing:blue and yellow;accessories:none;expression:serious face;strength:mild;weakness:pride,5d12847b-6d71-4691-8337-2e6ef3e283b2,950cc794fefbaa52d881db854d5105f7295d41b7544035c0f4c2b80ed51f2813
TEAM BRAINBOX,139,mary-with-hair,mary with hair,Mary with her beautiful Afro.,Female,hair:none;eyes:none;teeth:none;clothing:casual ankara;accessories:cap;expression:scared;strength:sensitive;weakness:fearful,98035e8b-6540-4464-8a3c-fdac9f07b168,9661fba73beccdee3fbeba57f4ea99e7347161f4ceb91f13d088b0e2c7ccdf55
TEAM BRAINBOX,139,mary-with-hair,mary with hair,Mary with her beautiful Afro.,Female,hair:none;eyes:none;teeth:none;clothing:casual ankara;accessories:cap;expression:scared;strength:sensitive;weakness:fearful,98035e8b-6540-4464-8a3c-fdac9f07b168,9661fba73beccdee3fbeba57f4ea99e7347161f4ceb91f13d088b0e2c7ccdf55
TEAM BRAINBOX,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum.,Female,hair:none;eyes:none;teeth:white;clothing:traditional wear;accessories:cap;expression:sassy;strength:decisive;weakness:insensitive,15309dc5-e483-4658-b503-db85ba2c1722,9e8fde829551da18590c2d05b4f2d6ccf29439043eb90f9696da1cf68612707b
TEAM BRAINBOX,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum.,Female,hair:none;eyes:none;teeth:white;clothing:traditional wear;accessories:cap;expression:sassy;strength:decisive;weakness:insensitive,15309dc5-e483-4658-b503-db85ba2c1722,9e8fde829551da18590c2d05b4f2d6ccf29439043eb90f9696da1cf68612707b
TEAM PLUG,141,viganem-the-drummer-girl,viganem the drummer girl,She is known for typically playing the drum for 5 hours per day without a break.,Female,hair:none;eyes:none;teeth:none;clothing:ankara with drum patterns;accessories:none;expression:sumg;strength:none;weakness:none,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,1f9061b2da002d3f5c3a72e78465945627a0c984bf6d09d11103c29825a0d899
TEAM PLUG,141,viganem-the-drummer-girl,viganem the drummer girl,She is known for typically playing the drum for 5 hours per day without a break.,Female,hair:none;eyes:none;teeth:none;clothing:ankara with drum patterns;accessories:none;expression:sumg;strength:none;weakness:none,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,1f9061b2da002d3f5c3a72e78465945627a0c984bf6d09d11103c29825a0d899
TEAM PLUG,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair:purple;eyes:none;teeth:none;clothing:black and blue ankara;accessories:none;expression:serious;strength:none;weakness:none,e564a43a-ef77-487d-a88e-749d20a09fd8,87ee5fc7558a52a1a815eb9c094615141dc36799e12aa52f1e54844ed4c886ec
TEAM PLUG,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair:purple;eyes:none;teeth:none;clothing:black and blue ankara;accessories:none;expression:serious;strength:none;weakness:none,e564a43a-ef77-487d-a88e-749d20a09fd8,87ee5fc7558a52a1a815eb9c094615141dc36799e12aa52f1e54844ed4c886ec
TEAM PLUG,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair:purple;eyes:none;teeth:none;clothing:black ankara with yellow and blue gear pattern;accessories:none;expression:chill;strength:none;weakness:none,6dc7e452-0626-4f4c-a28c-f5db3532e305,e954b9b12f3c4f3c5e685397d3db1fdba4c9da16d73eaddbf80e32807c9ceca0
TEAM PLUG,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair:purple;eyes:none;teeth:none;clothing:black ankara with yellow and blue gear pattern;accessories:none;expression:chill;strength:none;weakness:none,6dc7e452-0626-4f4c-a28c-f5db3532e305,e954b9b12f3c4f3c5e685397d3db1fdba4c9da16d73eaddbf80e32807c9ceca0
TEAM PLUG,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair:brown afro;eyes:none;teeth:none;clothing:black ankara with yellow peach and blue gear pattern;accessories:none;expression:unbothered;strength:none;weakness:none,221263d0-8775-49f8-bbf8-4b08b49e1482,af3f3818ce733082d7c80e96c19c1545873b0b3f76fdbb71d225a488ebe3a7e6
TEAM PLUG,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair:brown afro;eyes:none;teeth:none;clothing:black ankara with yellow peach and blue gear pattern;accessories:none;expression:unbothered;strength:none;weakness:none,221263d0-8775-49f8-bbf8-4b08b49e1482,af3f3818ce733082d7c80e96c19c1545873b0b3f76fdbb71d225a488ebe3a7e6
TEAM PLUG,145,akinyim-the-clown,akinyim the clown,"""The most interesting christmas clown"," known for dancing in prisons and hospitals on christmas eve.""",Female:,hair: burgundy dreadlocks; eyes: none; teeth: none; clothing: kente blouse with asymmetric neckline; accessories: none; expression: off-standish; strength: none; weakness: none,a6229428d50e4355036304069fafebcadcbb53411744f06bc034d4d8c8fe1ba8
TEAM PLUG,145,akinyim-the-clown,akinyim the clown,"""The most interesting christmas clown"," known for dancing in prisons and hospitals on christmas eve.""",Female:,hair: burgundy dreadlocks; eyes: none; teeth: none; clothing: kente blouse with asymmetric neckline; accessories: none; expression: off-standish; strength: none; weakness: none,a6229428d50e4355036304069fafebcadcbb53411744f06bc034d4d8c8fe1ba8
TEAM PLUG,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair:brown;eyes:none;teeth:none;clothing:kente agbada;accessories:none;expression:goofy;strength:none;weakness:none,c22489fe-574b-47f3-9667-c9c798b2d4df,b02f77774040eff5fcdf31e9a81de78b5874fb3ae47248b83142a745481a10f5
TEAM PLUG,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair:brown;eyes:none;teeth:none;clothing:kente agbada;accessories:none;expression:goofy;strength:none;weakness:none,c22489fe-574b-47f3-9667-c9c798b2d4df,b02f77774040eff5fcdf31e9a81de78b5874fb3ae47248b83142a745481a10f5
TEAM PLUG,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair:burgundy;eyes:none;teeth:none;clothing:black and kente patterned agbada;accessories:none;expression:sleepy;strength:none;weakness:none,1a91e778-d214-476b-a667-94e9ecb8b5ce,2957788e7051742c2f6467ade0283f7fc64d1fa6d50546b2369a3709bf4dd80e
TEAM PLUG,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair:burgundy;eyes:none;teeth:none;clothing:black and kente patterned agbada;accessories:none;expression:sleepy;strength:none;weakness:none,1a91e778-d214-476b-a667-94e9ecb8b5ce,2957788e7051742c2f6467ade0283f7fc64d1fa6d50546b2369a3709bf4dd80e
TEAM PLUG,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair:face;eyes:none;teeth:none;clothing:yellow and blue ankara;accessories:none;expression:warm;strength:none;weakness:none,8177cf38-8284-4eb4-b19c-04473bcb3b5e,4cb1fc4793ad7ccfa3fa2be292c22da7e207d647783040f045b23373301cfaff
TEAM PLUG,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair:face;eyes:none;teeth:none;clothing:yellow and blue ankara;accessories:none;expression:warm;strength:none;weakness:none,8177cf38-8284-4eb4-b19c-04473bcb3b5e,4cb1fc4793ad7ccfa3fa2be292c22da7e207d647783040f045b23373301cfaff
TEAM PLUG,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair:blue;eyes:none;teeth:none;clothing:green top with blue overalls;accessories:none;expression:fear;strength:none;weakness:none,0554bf35-f588-4009-aafc-ef875b878c29,c404c800d7e1adbb2e45aeb7d483f9eb389640621fb289b1f6f786773a324391
TEAM PLUG,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair:blue;eyes:none;teeth:none;clothing:green top with blue overalls;accessories:none;expression:fear;strength:none;weakness:none,0554bf35-f588-4009-aafc-ef875b878c29,c404c800d7e1adbb2e45aeb7d483f9eb389640621fb289b1f6f786773a324391
TEAM PLUG,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair:brown;eyes:none;teeth:none;clothing:brown shirt with dog pattern;accessories:none;expression:smirking strength;weakness:none,33ba8e73-7949-4bc7-ba27-37ee1d573946,ac8f99f732d9aa59250a8ecad7a0aa65c9786dda761a4bfa3dc0badd3cd60e97
TEAM PLUG,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair:brown;eyes:none;teeth:none;clothing:brown shirt with dog pattern;accessories:none;expression:smirking strength;weakness:none,33ba8e73-7949-4bc7-ba27-37ee1d573946,ac8f99f732d9aa59250a8ecad7a0aa65c9786dda761a4bfa3dc0badd3cd60e97
TEAM PLUG,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair:teal;eyes:none;teeth:none;clothing:purple shirt with yellow accent;accessories:none;expression:euphoric;strength:none;weakness:none,1fb33783-4898-48cf-8a73-f81afc71e1a8,eb9061e9e2d81dabb91d4b88a0a915e0c0637fe1bb219e5d64827c24ca432b30
TEAM PLUG,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair:teal;eyes:none;teeth:none;clothing:purple shirt with yellow accent;accessories:none;expression:euphoric;strength:none;weakness:none,1fb33783-4898-48cf-8a73-f81afc71e1a8,eb9061e9e2d81dabb91d4b88a0a915e0c0637fe1bb219e5d64827c24ca432b30
TEAM PLUG,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair:black;eyes:none;teeth:none;clothing:monostrap black ankara with yellow and red patterns;accessories:none;expression:playful;strength:none;weakness:none,7ba909bd-19a1-454d-a86c-a45e85cb94a6,b476c3f81866ff8284d799405e4687aeba4d522b293b7326fe4636d903109653
TEAM PLUG,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair:black;eyes:none;teeth:none;clothing:monostrap black ankara with yellow and red patterns;accessories:none;expression:playful;strength:none;weakness:none,7ba909bd-19a1-454d-a86c-a45e85cb94a6,b476c3f81866ff8284d799405e4687aeba4d522b293b7326fe4636d903109653
TEAM PLUG,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair:black;eyes:none;teeth:none;clothing:maroon agbada with yellow accents;accessories:none;expression:clueless;strength:none;weakness:none,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,ba79b0016a137bb757c0a92b8693cc222490d377b6c6c8770f73a510f0782c1d
TEAM PLUG,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair:black;eyes:none;teeth:none;clothing:maroon agbada with yellow accents;accessories:none;expression:clueless;strength:none;weakness:none,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,ba79b0016a137bb757c0a92b8693cc222490d377b6c6c8770f73a510f0782c1d
TEAM PLUG,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair:red;eyes:none;teeth:none;clothing:plain and patterned ankara shirt;accessories:none;expression:anxious;strength:none;weakness:none,36cd959f-d280-41f6-af76-765715c72527,047d95f6d5add25340d144fe9b898be53d7d17bb2637b66760f81b51203c7ee5
TEAM PLUG,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair:red;eyes:none;teeth:none;clothing:plain and patterned ankara shirt;accessories:none;expression:anxious;strength:none;weakness:none,36cd959f-d280-41f6-af76-765715c72527,047d95f6d5add25340d144fe9b898be53d7d17bb2637b66760f81b51203c7ee5
TEAM PLUG,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is known for creating magical art pieces that can spark a smile.,Male,hair:black;eyes:none;teeth:none;clothing:yelow kente shirt;accessories:none;expression:cheerful;strength:none;weakness:none,9d262f55-73d7-4b95-9a82-42356dbb085c,40a4e7d773133e63df1c62fd976171832a6cb721fa8950fffa1dd5a412db2868
TEAM PLUG,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is known for creating magical art pieces that can spark a smile.,Male,hair:black;eyes:none;teeth:none;clothing:yelow kente shirt;accessories:none;expression:cheerful;strength:none;weakness:none,9d262f55-73d7-4b95-9a82-42356dbb085c,40a4e7d773133e63df1c62fd976171832a6cb721fa8950fffa1dd5a412db2868
TEAM PLUG,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair:brown;eyes:none;teeth:none;clothing:black and kente agbada;accessories:none;expression:high;strength:none;weakness:none,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,d3500f541de031c9ce76a63ee8d7297ba9496409cf439ce7b9d0bb0d5c7517ad
TEAM PLUG,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair:brown;eyes:none;teeth:none;clothing:black and kente agbada;accessories:none;expression:high;strength:none;weakness:none,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,d3500f541de031c9ce76a63ee8d7297ba9496409cf439ce7b9d0bb0d5c7517ad
TEAM PLUG,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair:burgundy;eyes:none;teeth:none;clothing:black and kente agbada;accessories:none;expression:none;strength:none;weakness:none,88106b92-da30-46ad-a3cc-d528683b9e33,0f87fc0abfd91245a3139a51baaf625082fe7d2d13f434caa1a742165d209ae4
TEAM PLUG,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair:burgundy;eyes:none;teeth:none;clothing:black and kente agbada;accessories:none;expression:none;strength:none;weakness:none,88106b92-da30-46ad-a3cc-d528683b9e33,0f87fc0abfd91245a3139a51baaf625082fe7d2d13f434caa1a742165d209ae4
TEAM PLUG,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair:orange;eyes:none;teeth:none;clothing:orange and blue denim;accessories:none;expression:unbothered;strength:none;weakness:none,66a09968-cb92-4378-a588-49947f68c537,38ce16758450aafb0dcf0c6abad19fe2828994e2694ba5a93b92a957f7e6a6f7
TEAM PLUG,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair:orange;eyes:none;teeth:none;clothing:orange and blue denim;accessories:none;expression:unbothered;strength:none;weakness:none,66a09968-cb92-4378-a588-49947f68c537,38ce16758450aafb0dcf0c6abad19fe2828994e2694ba5a93b92a957f7e6a6f7
TEAM PLUG,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair:blue;eyes:none;teeth:none;clothing:green top with overall;accessories:none;expression:none;strength:none;weakness:none,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,f8644191185562751f884ad4000aeb83e3a47756ff80d80fdf71539e472ec7da
TEAM PLUG,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair:blue;eyes:none;teeth:none;clothing:green top with overall;accessories:none;expression:none;strength:none;weakness:none,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,f8644191185562751f884ad4000aeb83e3a47756ff80d80fdf71539e472ec7da
TEAM PLUG,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair:red;eyes:none;teeth:none;clothing:white top with blue overalls;accessories:none;expression:high;strength:none;weakness:none,b07676a6-c611-410d-8426-46c9c525189a,8b8ebab27d26797be7ecd34cfc20c451f0622d46acebd7a9a3f38aa3a37fd705
TEAM PLUG,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair:red;eyes:none;teeth:none;clothing:white top with blue overalls;accessories:none;expression:high;strength:none;weakness:none,b07676a6-c611-410d-8426-46c9c525189a,8b8ebab27d26797be7ecd34cfc20c451f0622d46acebd7a9a3f38aa3a37fd705
TEAM HEADLIGHT,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair:black hair;eyes:none;teeth:none;clothing:aso oke;expression:cool;accessories:head tye and eye glasses;strength:fashion;weakness:men,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,fafdc44adc8c270f3995d0a8a9471381e49193ff353f1458e2f8cdadf996fc2e
TEAM HEADLIGHT,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair:black hair;eyes:none;teeth:none;clothing:aso oke;expression:cool;accessories:head tye and eye glasses;strength:fashion;weakness:men,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,fafdc44adc8c270f3995d0a8a9471381e49193ff353f1458e2f8cdadf996fc2e
TEAM HEADLIGHT,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair:purple shuku;eyes:none;teeth:none;clothing:adire top;expression:neutral;accessories:eye glasses;strength:caring;weakness:snake,ac721b71-cbc5-425c-851f-ee826973f0b9,8c313e5b8d86f85592fada73b4cd3a4d67bc34a28a9e672088e6139e0db2043e
TEAM HEADLIGHT,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair:purple shuku;eyes:none;teeth:none;clothing:adire top;expression:neutral;accessories:eye glasses;strength:caring;weakness:snake,ac721b71-cbc5-425c-851f-ee826973f0b9,8c313e5b8d86f85592fada73b4cd3a4d67bc34a28a9e672088e6139e0db2043e
TEAM HEADLIGHT,163,bimpe-the-runzgirl,bimpe the runzgirl,Be careful with Bimpe because she cac be sensitive.,Female,hair:purple dreadlock;eyes:none;teeth:none;clothing:one arm ankara;expression:mischievious;accessories:eye glasses;strength:humanitarian;weakness:opposite sex,eaa7662f-6926-468a-9add-e791916ae42b,a0e8c5d252dc99f3264487aee96d38dabde85cc06e1257119312bed6c3ca86e1
TEAM HEADLIGHT,163,bimpe-the-runzgirl,bimpe the runzgirl,Be careful with Bimpe because she cac be sensitive.,Female,hair:purple dreadlock;eyes:none;teeth:none;clothing:one arm ankara;expression:mischievious;accessories:eye glasses;strength:humanitarian;weakness:opposite sex,eaa7662f-6926-468a-9add-e791916ae42b,a0e8c5d252dc99f3264487aee96d38dabde85cc06e1257119312bed6c3ca86e1
TEAM HEADLIGHT,164,sola-the-queen,sola the queen,Sola is a princess as she's got the mind of a queen.,Female,hair:brown long hair;eyes:none;teeth:none;clothing:blouse top;expression:cool;accessories:eye glasses;strength:Strong character;weakness:beauty,d5f23ad3-832a-4d3e-814e-e23f466d18a4,78a56c5818def2e7e337f1e7cfcc648d89a31b4545e443ea1366a639b085075a
TEAM HEADLIGHT,164,sola-the-queen,sola the queen,Sola is a princess as she's got the mind of a queen.,Female,hair:brown long hair;eyes:none;teeth:none;clothing:blouse top;expression:cool;accessories:eye glasses;strength:Strong character;weakness:beauty,d5f23ad3-832a-4d3e-814e-e23f466d18a4,78a56c5818def2e7e337f1e7cfcc648d89a31b4545e443ea1366a639b085075a
TEAM HEADLIGHT,165,temi-afro-girl,temi afro girl,Temi is know for her funny haircut and this time afro is up.,Female,hair:orange full hair;eyes:none;teeth:none;clothing:ankara;expression:cool;accessories:eye glasses;strength:loving;weakness:sheepish,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,dd92cf197fc0db1539571fa3a3303844ecd08815191b73f7c23a6e68615498e1
TEAM HEADLIGHT,165,temi-afro-girl,temi afro girl,Temi is know for her funny haircut and this time afro is up.,Female,hair:orange full hair;eyes:none;teeth:none;clothing:ankara;expression:cool;accessories:eye glasses;strength:loving;weakness:sheepish,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,dd92cf197fc0db1539571fa3a3303844ecd08815191b73f7c23a6e68615498e1
TEAM HEADLIGHT,166,jonny-the-bravo,jonny the bravo,Jonny is friendly to all and everybody sees him as kind agile Jonny.,Male,hair:orange pink;eyes:closed;teeth:candy in mouth;clothing:igbo attire;expression:relaxed;accessories:candy in mouth;strength:helping people;weakness:hastly rash,2b345988-b4b0-453b-ad39-efe1321bc8f1,d65b986b0e0350b84b6dc60390bd4d5194249134645585eeb9e9142b06a56edb
TEAM HEADLIGHT,166,jonny-the-bravo,jonny the bravo,Jonny is friendly to all and everybody sees him as kind agile Jonny.,Male,hair:orange pink;eyes:closed;teeth:candy in mouth;clothing:igbo attire;expression:relaxed;accessories:candy in mouth;strength:helping people;weakness:hastly rash,2b345988-b4b0-453b-ad39-efe1321bc8f1,d65b986b0e0350b84b6dc60390bd4d5194249134645585eeb9e9142b06a56edb
TEAM HEADLIGHT,167,tunde-the-bigman,tunde the bigman,Tunde is the big man on the street and flamboyant life style is his identity.,Male,hair:none;eyes:closed;teeth:white with one tooth missing;clothing:agbada;expression:resting;accessories:head wear;strength:money;weakness:monkey,56db423e-8b09-453e-b5fc-61f4da9d7a6f,27b859d209dcae41b1b90e8157e512ca3df83330e4803c6a3e1c3030ac88c0a3
TEAM HEADLIGHT,167,tunde-the-bigman,tunde the bigman,Tunde is the big man on the street and flamboyant life style is his identity.,Male,hair:none;eyes:closed;teeth:white with one tooth missing;clothing:agbada;expression:resting;accessories:head wear;strength:money;weakness:monkey,56db423e-8b09-453e-b5fc-61f4da9d7a6f,27b859d209dcae41b1b90e8157e512ca3df83330e4803c6a3e1c3030ac88c0a3
TEAM HEADLIGHT,168,joe-the-plain,joe the plain,Plain and simple and no one in town is more gentle that broda Joe.,Male,hair:none;eyes:watery blue eye;teeth:tongue out;clothing:agbada;expression:happy;accessories:face cap;strength:handling situation;weakness:overthinking,7a3083bd-5aa2-48b5-a30b-4445cc060f57,be296a0d9e2413a778a36081c776ee7c00e38c2c4d6254b06ccbfa6e28e685d7
TEAM HEADLIGHT,168,joe-the-plain,joe the plain,Plain and simple and no one in town is more gentle that broda Joe.,Male,hair:none;eyes:watery blue eye;teeth:tongue out;clothing:agbada;expression:happy;accessories:face cap;strength:handling situation;weakness:overthinking,7a3083bd-5aa2-48b5-a30b-4445cc060f57,be296a0d9e2413a778a36081c776ee7c00e38c2c4d6254b06ccbfa6e28e685d7
TEAM HEADLIGHT,169,wale-sharp-guy,wale sharp guy,Wale no de carry last because he thinks and act fast.,Male,hair:none;eyes:closed;teeth:white with a tooth missing;clothing:agbada;expression:fearful;accessories:blue head scaf;strength:smart;weakness:too forward,44906ea0-901b-4b3d-802f-f73acc8758f6,7af5a58c5f56c112433c128c47a7c014cfa034e162d8afc8ec6088c7f1846900
TEAM HEADLIGHT,169,wale-sharp-guy,wale sharp guy,Wale no de carry last because he thinks and act fast.,Male,hair:none;eyes:closed;teeth:white with a tooth missing;clothing:agbada;expression:fearful;accessories:blue head scaf;strength:smart;weakness:too forward,44906ea0-901b-4b3d-802f-f73acc8758f6,7af5a58c5f56c112433c128c47a7c014cfa034e162d8afc8ec6088c7f1846900
